_id,level1,level2,level3,createdAt
,construction,construction-material,insulation,
,construction,construction-material,construction-chemistry,
,construction,construction-material,drywall,
,construction,construction-material,silicone-and-foam,
,construction,construction-material,adhesive,
,construction,construction-material,construction-profile-slat,
,construction,construction-material,construction-material-other,
,construction,electrical-item,electrical-cable,
,construction,electrical-item,electrical-socket,
,construction,electrical-item,fuse-and-box,
,construction,electrical-item,electrical-extender,
,construction,electrical-item,electrical-cable-organizer,
,construction,electrical-item,electrical-item-other,
,construction,ventilation,ventilation-exhaust-fan,
,construction,ventilation,vent-caps,
,construction,ventilation,ventilation-other,
,construction,piping,plastic-pipe,
,construction,piping,plastic-pipe-fitting,
,construction,piping,metal-pipe,
,construction,piping,metal-pipe-fitting,
,construction,piping,pipe-drainage,
,construction,piping,piping-other,
,construction,paint-laquer,interior-paint,
,construction,paint-laquer,exterior-paint,
,construction,paint-laquer,oil-paint,
,construction,paint-laquer,paint-thinner,
,construction,paint-laquer,spray,
,construction,paint-laquer,undercoat,
,construction,paint-laquer,laquer,
,construction,paint-laquer,paint-laquer-other,
,construction,woodwork,woodwork-handle,
,construction,woodwork,woodwork-feet,
,construction,woodwork,woodwork-mechanism,
,construction,woodwork,woodwork-edging,
,construction,woodwork,woodwork-rail,
,construction,woodwork,woodwork-other,
,construction,metal-item,screw-bolt,
,construction,metal-item,nail,
,construction,metal-item,latch-and-hook,
,construction,metal-item,holder-and-anchor,
,construction,metal-item,metal-item-other,
,tool,manual-tool,construction-tool,
,tool,manual-tool,electricity-tool,
,tool,manual-tool,painting-tool,
,tool,manual-tool,woodwork-tool,
,tool,manual-tool,manual-tool-other,
,tool,electric-tool,drill,
,tool,electric-tool,power-saw,
,tool,electric-tool,wood-saw,
,tool,electric-tool,concrete-hammer,
,tool,electric-tool,welding,
,tool,electric-tool,electric-screwdriver,
,tool,electric-tool,electric-tool-other,
,tool,tool-part,power-saw-part,
,tool,tool-part,drillbit,
,tool,tool-part,screwbit,
,tool,tool-part,crown-drillbit,
,tool,tool-part,diamond-disk,
,tool,tool-part,tool-part-set,
,tool,tool-part,tool-organizer,
,tool,tool-part,tool-part-other,
,tool,ladder,metal-ladder,
,tool,ladder,wood-ladder,
,tool,ladder,ladder-other,
,tool,work-attire,worksuit,
,tool,work-attire,work-pants,
,tool,work-attire,work-jacket,
,tool,work-attire,work-shoes,
,tool,work-attire,work-protective-attire,
,tool,work-attire,work-attire-other,
,home,bathroom,bath-furniture,
,home,bathroom,tile,
,home,bathroom,faucet,
,home,bathroom,toilet-seat,
,home,bathroom,bath-sink,
,home,bathroom,water-heater,
,home,bathroom,bath-accessory,
,home,bathroom,battub-and-cabin,
,home,bathroom,shower-element,
,home,bathroom,home-bathroom-other,
,home,garden,lawnmover-trimmer,
,home,garden,hose,
,home,garden,watering,
,home,garden,pressure-washer,
,home,garden,garden-other,
,home,cooling-heating,panel-and-radiator-heater,
,home,cooling-heating,radiant-heater,
,home,cooling-heating,fan-heater,
,home,cooling-heating,cooling-heating-other,
,home,kitchen,kitchen-sink,
,home,kitchen,kitchen-exhaust-fan,
,home,kitchen,kitchen-faucet,
,home,kitchen,kitchen-other,
,home,lighting,lightbulb,
,home,lighting,wall-light,
,home,lighting,standing-light,
,home,lighting,spotlight,
,home,lighting,ceiling-light,
,home,lighting,neon-light,
,home,lighting,light-part,
,home,lighting,lighting-other,
,man-fashion,man-clothing,man-suit,
,man-fashion,man-clothing,man-jacket,
,man-fashion,man-clothing,man-shirt,
,man-fashion,man-clothing,man-polo-shirt,
,man-fashion,man-clothing,man-tshirt,
,man-fashion,man-clothing,man-sweater,
,man-fashion,man-clothing,man-sweatshirt-pants,
,man-fashion,man-clothing,man-sportwear,
,man-fashion,man-clothing,man-swimwear,
,man-fashion,man-clothing,man-jeans,
,man-fashion,man-clothing,man-pants,
,man-fashion,man-clothing,man-shorts,
,man-fashion,man-clothing,man-pijama,
,man-fashion,man-clothing,man-underwear,
,man-fashion,man-clothing,man-socks,
,man-fashion,man-clothing,man-clothing-other,
,man-fashion,man-shoes,man-athletic,
,man-fashion,man-shoes,man-shoes-casual,
,man-fashion,man-shoes,man-shoes-suit,
,man-fashion,man-shoes,man-sandals,
,man-fashion,man-shoes,man-slippers,
,man-fashion,man-shoes,man-boots,
,man-fashion,man-shoes,man-shoes-other,
,man-fashion,man-watch,man-watch-digital,
,man-fashion,man-watch,man-watch-quartz,
,man-fashion,man-watch,man-watch-sport,
,man-fashion,man-watch,man-watch-accessories,
,man-fashion,man-watch,man-watch-other,
,man-fashion,man-accessories,man-belt,
,man-fashion,man-accessories,man-cuff-tie-clip,
,man-fashion,man-accessories,man-gloves,
,man-fashion,man-accessories,man-handkerchief,
